name,lastname,idNumber,role
Sofia,Azcurraín,25416,X
Sofía,Müller,25638,B
Mateo,Alvarez,15827,B
Valentina,Perez,89312,C
Tomas,Fernandez,99071,A
Martina,Luna,81267,B
Benjamin,Herrera,17349,C
Catalina,Acosta,23754,B
Agustín,Castro,65491,A
Emma,Silva,36215,C
Joaquín,Romero,27981,B
Isabella,Ortiz,14985,D
Lautaro,Gimenez,77812,E
Mia,Sanchez,32046,P
Santiago,Rios,89164,A
Camila,Martinez,14826,B
Diego,Vega,17096,X
Julia,Mendoza,34720,E
Facundo,Ramirez,63520,C
Olivia,Garcia,40873,P
Juan,Chavez,59123,X
Renata,Ayala,84260,B
Gabriel,Medina,96132,E
Antonia,Cruz,29314,D
Franco,Dominguez,71238,C
Malena,Reyes,11357,A
Pedro,Suarez,20149,E
Victoria,Peralta,56731,P
Lucas,Nuñez,49618,D
Martina,Bustos,13301,A
Nicolas,Benitez,22570,B
Jazmin,Correa,18429,X
Maximo,Ponce,92276,P
Florencia,Cardozo,34012,E
Ciro,Godoy,71590,C
